"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensg","gene","desc"
"ENSMUSG00000034973",752.047673572667,0.884483212174449,0.188831155096363,4.68398984120541,2.81343957970439e-06,2.50355338369965e-05,"ENSMUSG00000034973","Dop1a","DOP1 leucine zipper like protein A [Source:MGI Symbol;Acc:MGI:1289294]"
"ENSMUSG00000034974",201.269527582879,-0.52385286770917,0.273541412172261,-1.91507700259761,0.0554826841953658,0.11464732429776,"ENSMUSG00000034974","Dapk3","death-associated protein kinase 3 [Source:MGI Symbol;Acc:MGI:1203520]"
"ENSMUSG00000034981",36.4917676088889,-0.581355531124443,0.500816809108697,-1.16081473415216,0.245717249714752,0.367859825307663,"ENSMUSG00000034981","Parm1","prostate androgen-regulated mucin-like protein 1 [Source:MGI Symbol;Acc:MGI:2443349]"
"ENSMUSG00000034987",26.173816533996,1.60387535923274,0.506133030489666,3.16888103050901,0.00153027019475145,0.00593230958422208,"ENSMUSG00000034987","Hrh2","histamine receptor H2 [Source:MGI Symbol;Acc:MGI:108482]"
"ENSMUSG00000034993",75.5256867261832,-0.314097811139574,0.349459486955813,-0.898810371055372,0.368753675006634,0.49817891251767,"ENSMUSG00000034993","Vat1","vesicle amine transport 1 [Source:MGI Symbol;Acc:MGI:1349450]"
"ENSMUSG00000034994",3007.43847339599,0.0425360336638383,0.222344531739625,0.191306857564862,0.848285188756229,0.894679903865333,"ENSMUSG00000034994","Eef2","eukaryotic translation elongation factor 2 [Source:MGI Symbol;Acc:MGI:95288]"
"ENSMUSG00000034997",110.649090459857,-0.821967434402022,0.270083378830853,-3.04338400222993,0.00233933609627331,0.00846450608822135,"ENSMUSG00000034997","Htr2a","5-hydroxytryptamine (serotonin) receptor 2A [Source:MGI Symbol;Acc:MGI:109521]"
"ENSMUSG00000034998",78.172459687961,0.47400962475418,0.299857304946749,1.5807839826959,0.113927438081153,0.203002874312867,"ENSMUSG00000034998","Foxn2","forkhead box N2 [Source:MGI Symbol;Acc:MGI:1347478]"
"ENSMUSG00000035007",330.262585731489,0.58466267342768,0.208670661711394,2.80184415304298,0.00508114131458016,0.0160758738025496,"ENSMUSG00000035007","Rundc1","RUN domain containing 1 [Source:MGI Symbol;Acc:MGI:2144506]"
"ENSMUSG00000035011",95.721354852634,0.393239144563493,0.337065923309974,1.16665351603004,0.243350322012144,0.365133064946603,"ENSMUSG00000035011","Zbtb7a","zinc finger and BTB domain containing 7a [Source:MGI Symbol;Acc:MGI:1335091]"
"ENSMUSG00000035021",181.957398450309,0.556892021809454,0.346589300942523,1.60677787887574,0.108103102522885,0.194565520330198,"ENSMUSG00000035021","Baz1a","bromodomain adjacent to zinc finger domain 1A [Source:MGI Symbol;Acc:MGI:1309478]"
"ENSMUSG00000035024",627.673029643318,1.20501972739309,0.184849849085539,6.51891106946735,7.08196234706458e-11,2.1177251282764e-09,"ENSMUSG00000035024","Ncapd3","non-SMC condensin II complex, subunit D3 [Source:MGI Symbol;Acc:MGI:2142989]"
"ENSMUSG00000035027",117.106962538196,0.536632998066305,0.368136494052139,1.45770116990982,0.144922929355334,0.245137514194869,"ENSMUSG00000035027","Map2k2","mitogen-activated protein kinase kinase 2 [Source:MGI Symbol;Acc:MGI:1346867]"
"ENSMUSG00000035032",12.4426374051845,-0.824791782551985,0.599303534613608,-1.37625048896759,0.168744095651806,0.27516641739949,"ENSMUSG00000035032","Nek11","NIMA (never in mitosis gene a)-related expressed kinase 11 [Source:MGI Symbol;Acc:MGI:2442276]"
"ENSMUSG00000035033",235.970394022847,-0.756931698789386,0.220120706966443,-3.43871191956864,0.000584488859958674,0.00262401480251288,"ENSMUSG00000035033","Tbr1","T-box brain transcription factor 1 [Source:MGI Symbol;Acc:MGI:107404]"
"ENSMUSG00000035045",133.84134313099,0.0922099624783435,0.277033495647383,0.332847702271032,0.73924924805328,0.81627066218555,"ENSMUSG00000035045","Zc3h12b","zinc finger CCCH-type containing 12B [Source:MGI Symbol;Acc:MGI:2442133]"
"ENSMUSG00000035047",388.381663338733,-0.0246099863007129,0.277951618622866,-0.0885405396185319,0.929447064885363,0.954025225894617,"ENSMUSG00000035047","Kri1","KRI1 homolog [Source:MGI Symbol;Acc:MGI:2384899]"
"ENSMUSG00000035048",131.880560074576,-1.28935801933365,0.27894428109636,-4.62227802006184,3.79548864023127e-06,3.27159071617649e-05,"ENSMUSG00000035048","Anapc13","anaphase promoting complex subunit 13 [Source:MGI Symbol;Acc:MGI:1916260]"
"ENSMUSG00000035049",180.843035068785,0.195129340466699,0.25765624686731,0.757324314233252,0.44885558753495,0.573340899641353,"ENSMUSG00000035049","Rrp12","ribosomal RNA processing 12 homolog [Source:MGI Symbol;Acc:MGI:2147437]"
"ENSMUSG00000035051",834.208293870128,0.605388447100043,0.210357433255742,2.87790375519577,0.00400327255033376,0.0132196471718838,"ENSMUSG00000035051","Dhx57","DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:MGI Symbol;Acc:MGI:2147067]"
"ENSMUSG00000035062",89.1984700021878,-2.17018547765564,0.414501697617881,-5.23564919064886,1.64405961088361e-07,2.07240049000519e-06,"ENSMUSG00000035062","Zc4h2","zinc finger, C4H2 domain containing [Source:MGI Symbol;Acc:MGI:2679294]"
"ENSMUSG00000035064",258.319770678955,0.930114623192516,0.240019319170863,3.8751656591876,0.000106552186704557,0.00060728483908525,"ENSMUSG00000035064","Eef2k","eukaryotic elongation factor-2 kinase [Source:MGI Symbol;Acc:MGI:1195261]"
"ENSMUSG00000035067",39.5726230248802,0.982122238343184,0.463045517912192,2.12100581984129,0.033921312666946,0.0772029741435806,"ENSMUSG00000035067","Xkr6","X-linked Kx blood group related 6 [Source:MGI Symbol;Acc:MGI:2447765]"
